Product,Superstore Price,Metro Price,Loblaws Price,No Frills Price,Walmart Price
Aluminum Foil,1.99,2.49,N/A,2.45,2.97
Apple Juice,1.69,1.5,2.99,2.69,2.68
Apple Sauce,1.29,2.89,1.99,2.5,1.98
"Apples, Gala, bag",2.99,5.79,2.99,4.99,3.57
"Apples, Red/Golden Delicious (and/or other), bag",3.29,3.99,2.49,3.99,5.57
Bacon,2.99,3.79,3.99,4.99,3.5
Bagels,1.49,2.19,2.49,2,2.48
"Baguette Rolls, frozen",N/A,4.19,,3.69,
Baguette,N/A,1.5,1.99,2.19,1.6
Barbeque Sauce,0.89,1,2.49,1.99,1.46
Beef Stew Meat,4.19,2.74,N/A,4.49,4.48
"Beer, bottle, pilsener, import",5.99,8.99,8.99,7.99,8.47
"Beer, cans",N/A,23.49,3.99,19.99,19.97
"Brats, 4-6 pack",1.99,2.59,3.49,3.99,2.78
Bread Crumbs,0.89,1.47,2.99,1.79,1.08
"Bread, 12-grain/multi-grain",1.89,4.29,2.99,2.59,2.98
"Breakfast Sausage, frozen",0.89,1.99,3.79,2.19,1.14
"Butter, real, unsalted/salted",2.29,2.69,2.99,3.15,2.68
"Carrots, whole",1.29,0.99,0.89,0.99,1.48
Cereal,N/A,2.67,3.69,4.29,N/A
Cheery Pie Filling,1.79,3.99,2.29,3.19,2.28
Cheese Singles (imitation),0.99,3.59,3.49,3.19,1.18
"Cheese, block (regular)",1.99,3.29,N/A,3.19,2.58
"Cheese, Boursin",N/A,5.99,3.79,5.99,2.98
"Cheese, Brie 1",2.99,4.79,5.99,8.39,4.48
"Cheese, Brie 2",N/A,5.99,7.99,13.99,15.98
"Cheese, Parmesan, jar",2.39,2.19,,2.15,
"Cheese, shredded, Mexican style",2.79,8.99,3.99,3.19,8.68
"Cheese, shredded, Mozarella",2.99,1.5,3.99,3.19,2.24
"Cheese, sliced, deli",N/A,4.38,3.99,5.29,3.98
"Cheese, sliced, regular",1.99,2.69,3.99,2.79,2.28
"Cheese, wedge, deli",N/A,6.99,6.99,9.39,6.98
"Chicken Breasts, frozen",5.49,8.99,6.99,6.49,6.98
"Chicken Nuggets, frozen",3.99,3.79,3.79,5.99,4.47
"Chicken Tenderloins, frozen",5.99,8.99,6.99,6.99,6.98
"Chips, potato chips",1.49,2.99,2.99,2.59,2.68
Chocolate Chip Cookie Dough,1.99,2.19,3.49,2.59,2.18
Cocoa Rice Cereal,1.69,1.99,N/A,2.75,2
Coconut Milk,,2.29,0.99,1.49,1.58
Coffee,4.99,4.19,4.99,5.99,4.98
"Cold Cuts, ham or chicken",3.29,3.79,2.49,4.99,3.98
"Cold Cuts, turkey variety",N/A,3.69,2.99,3.29,N/A
"Corn Flakes, regular",1.69,0.99,2.49,2.29,1.88
"Corn Flakes, sugar frosted",1.79,1.25,N/A,2.89,2.48
Cottage Cheese,1.99,1.69,1.99,2.55,2.78
Cream Cheese,1.19,1,1.79,0.99,1.98
Heavy Whipping Cream,N/A,2.39,1.69,1.89,2.18
Croissants,2.49,3.99,3.99,2.39,3
"Eggs, cage free",N/A,2.19,2.29,3.39,3.18
"Eggs, regular",1.09,1.89,1.99,1.99,1.88
"Fish 1, frozen (flounder)",3.99,5.99,N/A,7.99,5.27
"Fish 2, frozen (tilapia)",4.49,5.99,7.59,8.99,4.48
"Fish 3, frozen",3.99,9.99,7.99,7.99,4.94
"Flour, all purpose",1.59,2.79,2.99,2.29,1.96
"Flour, self rising",1.59,2.79,N/A,2.29,2.48
"French Fries, frozen",1.89,1.99,1.99,2.99,1.97
"Fruit 1, frozen (strawberries)",1.99,2.99,1.69,2.39,2.33
"Fruit 2, frozen",2.99,4.59,3.29,3.29,3.23
"Granola Bars, high fiber",1.89,2.39,N/A,3.19,2.98
"Granola Bars, regular",1.59,2.39,1.99,2.59,2.18
"Grapes, red",2.99,1.99,3.99,1.49,1.88
"Green Beans, canned",0.59,0.69,0.89,0.79,0.68
"Ground Beef (chuck, 80/20)",2.89,2.79,3.49,3.99,3.28
"Ground Beef (sirloin, 90/10)",3.49,4.59,4.49,4.99,4.18
"Ground Beef, frozen",2.79,10.99,N/A,N/A,2.88
Ground Turkey,2.99,2.26,4.69,4.39,2.33
"Ground Turkey, frozen",1.69,4.99,N/A,N/A,2.88
"Ham, boneless",2.99,6.39,,3.99,3.38
Honey,4.49,5.78,4.99,9.49,4.98
Honey Crunch Oats,1.89,2.49,3.49,2.85,1.98
Hot Dog Buns,0.99,1.39,2.49,0.99,1.25
"Hot Dogs, beef",2.29,5.29,,3.59,
"Ice Cream, premium",2.49,5.49,5.99,4.59,3.38
"Ice Cream, simple",1.99,1.5,N/A,2.99,1.98
"Jalopeno Peppers, canned",1.19,1.34,N/A,2.49,0.86
Ketchup,1.49,1.29,1.99,1.99,1.24
Kielbasa,1.99,2.97,4.29,3.49,2.78
Lemons,1.99,3.49,1.39,1.99,1.98
"Lettuce, iceberg",0.99,1.25,1.29,1.69,1.18
"Mandarin Oranges, canned",0.49,1,1.19,0.97,0.78
Margarine/Spread,0.99,1.49,3.99,2.47,1.48
Mayonnaise,2.19,2.99,3.99,2.79,2.92
Milk,1.99,3.19,2.99,3.39,2.98
Milk Chocolate Bar,1.49,2.49,1.99,2.59,2.23
"Milk, organic",N/A,3.79,3.79,3.89,3.38
"Mushrooms, Button, whole",0.99,1.99,1.79,2.5,3.48
"Mushrooms, stems/pieces",0.59,0.99,N/A,1.59,0.98
"Mustard, dijon",0.99,1.49,1.69,1.69,2.92
"Mustard, yellow",0.69,1.49,1.99,1.15,0.84
Nutella,N/A,3.99,N/A,3.99,3.28
Oat Meal,1.49,1.5,2.99,1.5,1.68
"Oil, Canola, 100% pure",2.69,2.99,3.79,3.85,3.58
"Oil, Olive, 100% pure",2.99,7.89,4.99,9.39,4.88
"Oil, Olive, extra virgin",3.49,8.29,5.49,9.99,5.58
"Onions, yellow",1.69,2.29,1.99,2.99,3.48
"Orange Juice, not from concentrate",2.39,3.49,1.99,2.99,2.12
Oranges,2.99,6.99,3.79,3.49,4.98
"Pancetta or Ham, diced",N/A,5.79,2.99,?,3.18
Paper Towles,5.99,0.7,N/A,1.33,5.97
"Pasta, Egg Noodles",0.99,1.5,N/A,1.79,1.68
"Pasta, Ellbow Maccaroni",1.69,0.88,N/A,0.99,2.82
"Pasta, Penne Rigate",0.99,1.39,0.99,0.99,1.08
"Pasta, Rotini/Rotelle/Fusilli",1.49,1.39,0.99,0.99,1.08
"Pasta, Spaghetti",1.59,0.88,0.99,0.99,1.88
Peanut Butter,2.29,2.79,2.29,3.29,2.56
"Peanuts, roasted",2.69,2.64,2.69,2.99,2.88
Pears,1.99,1.39,2.99,0.99,1.77
"Pepper, black, ground",1.99,3.99,1.99,2.49,2.82
Pizza Dough,?,2.99,1.09,2.79,2.24
"Pizza, frozen (premium)",3.89,3.67,4.99,5.89,4.25
"Pizza, frozen (simple)",1.99,2.99,3.99,3.99,3.33
Plastic Wrap,1.49,1.99,N/A,2.69,1.53
Pork,3.99,4.27,4.99,6.49,3.98
Potatoes,2.49,3.49,4.29,4.69,2.97
"Preserves, strawberry",1.59,2.49,2.99,2.29,2.08
Pretzels,1.29,1.67,1.39,1.99,2.98
Red Cabbage,N/A,1.79,,1.69,
"Ribs, Baby Back (pork, unseasoned)",3.49,3.99,4.49,N/A,3.98
"Ribs, Spare Back (pork, unseasoned)",?,2.99,N/A,N/A,2.98
"Rice, instant, white",2.49,1.49,N/A,2.79,2.48
"Rice, regular",1.69,2.98,3.29,2.79,1.28
Salad Dressing,1.39,1.67,1.99,1.67,1.66
"Salami, sliced",2.79,2.74,3.99,5.39,2.48
"Salami, whole (1)",N/A,8.99,,5.99,3.98
"Salami, whole (2)",N/A,7.99,,7.89,N/A
"Salsa, medium",1.49,2.69,1.69,1.87,1.98
"Salt, iodized",0.35,0.47,1.99,0.38,0.72
"Soda, bottle",0.69,0.88,N/A,0.89,1.38
"Soda, bottle (Coke product)",N/A,1.67,N/A,1.89,1.38
"Soda, can",2.29,2.77,2.69,2.99,3.98
"Soda, can (Coke product)",N/A,4.99,N/A,4.99,3.98
"Soup, Chicken Noodle, condensed",0.59,0.67,N/A,0.59,0.64
"Soup, Chicken Noodle, regular",1.39,1.87,1.99,1.99,1.48
"Soup, organic",N/A,2.98,1.99,2.19,1.98
"Soup, Tomato, condensed",0.49,1.09,N/A,0.59,0.64
"Soup, Tomato, regular",N/A,2.07,2.49,2.29,1.48
Sour Cream,1.29,1.54,1.79,2.59,1.58
Spaghetti Sauce,1.19,1.27,2.29,1.35,1.33
"Sugar, brown",1.49,2.19,3.49,1.09,1.88
"Sugar, powdered",1.49,2.19,2.79,1.9,1.88
"Sugar, white",2.19,2.58,3.49,3.49,2.88
"Syrup, breakfast",1.59,1.98,17.99,2.59,1.98
"Tea, green, bags",1.19,2.49,1.99,3.39,2.18
Tomato Paste,0.39,0.59,0.89,0.6,0.44
Tomato Sauce,0.29,0.33,1.49,0.65,0.34
"Tomatoes, slicer",1.59,1.99,0.79,1.69,1.74
"Tuna, chunky, in water",0.59,0.75,1.49,1.39,0.64
"Tuna, solid, in water",1.15,1.99,1.49,1.77,1.12
"Vanilla Extract, pure (not imitation)",1.99,6.99,4.99,5.49,
"Veggies 1, frozen (peas)",0.89,2.48,1.29,1.59,0.98
"Veggies 2, frozen (other)",0.65,1.49,1.49,1.49,1.28
"Waffles, frozen",1.29,1.89,1.99,2.19,1.58
"Water, regular/drinking",2.49,0.59,0.49,0.67,3.98
"Water, Sparkling/Mineral",N/A,1.69,0.79,1.5,1.5
"White Bread/Toast, enriched",0.79,0.88,3.49,0.99,2.18
"Wine, table, Cabernet",2.89,6.99,2.79,5.99,2.97
"Wine, table, Chardonnay",2.89,6.99,2.79,6.49,2.97
"Wine, table, White Zinfandel",2.89,7.49,2.79,5.99,2.97
"Yoghurt, Dannon (etc.)",1.79,2.38,1.99,2.19,2.18
"Yogurt, Fage, 2%, plain",N/A,1.69,1.49,1.5,1.27
"Yogurt, Fage, w/ flavor",1.19,1.69,1.49,1.5,1.27
"Yogurt, flavored, cup",0.39,0.4,0.79,0.5,0.33
"Yogurt, greek style, plain",0.89,1.29,1.99,3.99,4.88
"Yogurt, plain",1.99,1.99,2.99,2.09,2.18